Company;TypeName;Inches;Cpu;Ram;Memory;Gpu;OpSys;Weight;Price_euros
Lenovo;Notebook;15.6;Intel Core i7 6700HQ 2.6GHz;8GB;1TB HDD;Nvidia GeForce GTX 960M;Windows 10;2.6kg;899.00
HP;Notebook;15.6;AMD A9-Series 9410 2.9GHz;6GB;1.0TB Hybrid;AMD Radeon R7 M440;Windows 10;2.04kg;549.99
Dell;Notebook;15.6;Intel Core i7 7500U 2.7GHz;8GB;1TB HDD;AMD Radeon R5 M430;Linux;2.3kg;805.99
HP;Netbook;11.6;Intel Celeron Dual Core N3060 1.6GHz;2GB;32GB Flash Storage;Intel HD Graphics 400;Windows 10;1.17kg;209.00
Asus;Notebook;15.6;Intel Core i7 6500U 2.5GHz;4GB;500GB HDD;Nvidia GeForce 920M;Windows 10;2.2kg;720.32
Lenovo;2 in 1 Convertible;14;Intel Core i7 6500U 2.5GHz;4GB;128GB SSD;Intel HD Graphics 520;Windows 10;1.8kg;638.00
Lenovo;2 in 1 Convertible;13.3;Intel Core i7 6500U 2.5GHz;16GB;512GB SSD;Intel HD Graphics 520;Windows 10;1.3kg;1499.00
Lenovo;Notebook;14;Intel Celeron Dual Core N3050 1.6GHz;2GB;64GB Flash Storage;Intel HD Graphics;Windows 10;1.5kg;229.00
HP;Notebook;15.6;Intel Core i7 6500U 2.5GHz;6GB;1TB HDD;AMD Radeon R5 M330;Windows 10;2.19kg;764.00
Asus;Notebook;15.6;Intel Celeron Dual Core N3050 1.6GHz;4GB;500GB HDD;Intel HD Graphics;Windows 10;2.2kg;369.00
